key,row,column,color,notes,list,sup,ver,king,scripture,sup_l,sub_l,sup_r,sub_r
Schamgar,415,20.5,byzantium,from Naphtali (3),150,,5,FALSE,Judges 3:31,,,3,
Barak,418,19,byzantium,from Naphtali (4),151,,5,FALSE,Judges 4:6,,,4,
Gideon,421,25.8,byzantium,from Manasseh (5),152,,5,FALSE,Judges 7:1,,,5,
Tola,424,8.9,byzantium,from Issachar (6),153,,5,FALSE,Judges 10:1,,,6,
Jair,427,12.9,byzantium,from Juda (7),154,,5,FALSE,Judges 10:3,,,7,
Jephthah,429,24.4,byzantium,from Manasseh (8),155,,5,FALSE,Judges 11:1,,,8,
Ibzan,432,11,byzantium,from Zebulon (9),156,,5,FALSE,Judges 12:8,,,9,
Elon,435,9.8,byzantium,from Zebulon (10),157,,5,FALSE,Judges 12:11,,,10,
Abdon,438,26.9,byzantium,from Ephraim (11),158,,5,FALSE,Judges 12:13,,,11,
Samson,441,21.8,byzantium,from Dan (12),159,,5,FALSE,Judges 13:24,,,12,
Kohath,340,7.1,blue,,,,8,FALSE,,,,,
Amran,354,7.1,blue,,,,8,FALSE,,,,,
Moses,368,5.8,blue,,,,8,FALSE,,,,,
Aaron,368,7.1,green,,,,8,FALSE,,,,,
Miriam,368,8.4,red,,,,8,FALSE,,,,,
Eleazar2,382,6.4,green,son of Aaron,,,8,FALSE,,,,,
Phinehas,396,6.4,green,son of Eleazar,,,8,FALSE,,,,,
Abishua,410,6.4,green,,,,8,FALSE,,,,,
Bukki,424,6.4,green,,,,8,FALSE,,,,,
Uzzi,438,6.4,green,,,,8,FALSE,,,,,
Eli,445,8.1,green,,,,8,FALSE,,,,,
Hophni,459,9.5,blue,son of Eli,,,8,FALSE,,,,,
Phinehas2,459,8.1,blue,"son of Eli, father of next high priest Ahitub",,,8,FALSE,,,,,
Ahitub,473,8.1,green,,,,8,FALSE,,,,,
Ahijah,487,8.1,green,,,,8,FALSE,,,,,
Ahimelech,501,8.1,green,high priest,,,8,FALSE,,,,,
Zerahiah,452,6.4,blue,,,,8,FALSE,,,,,
Meraioth,466,6.4,blue,,,,8,FALSE,,,,,
Azariah,480,6.4,blue,,,,8,FALSE,,,,,
Amariah,494,6.4,blue,,,,8,FALSE,,,,,
Ahitub2,508,6.4,blue,,,,8,FALSE,,,,,
Abiathar,522,8.1,green,last high priest in Eli’s line,,,8,FALSE,,,,,
Jonathan2,536,8.1,blue,son of Abiathar,,,8,FALSE,,,,,
Ahimelech2,536,9.9,blue,"son of Abiathar, not high priest",,,8,FALSE,,,,,
Zadok2,522,6.4,green,son of Ahitub,,,8,FALSE,,,,,
Ahimaaz,536,6.4,green,,,,8,FALSE,,,,,
Azariah_I,550,6.4,green,,,,8,FALSE,,,,,
Amariah,557,8.1,green,,,,8,FALSE,,,,,
Jehoiada,578,8.1,green,,,,8,FALSE,,,,,
Jehosheba,578,9.8,red,,,,8,FALSE,,,,,
Zechariah,592,8.1,green,,,,8,FALSE,,,,,
Johanan,606,6.4,green,,,,8,FALSE,,,,,
Azariah_II,620,6.4,green,,,,8,FALSE,,,,,
Urijah,634,8.1,green,761-746 ?,,,8,FALSE,,761,746,,
Azariah_III,648,6.4,green,or again Azariah II,,,8,FALSE,,,,,
Amariah2,662,6.4,green,,,,8,FALSE,,,,,
Ahitub3,676,6.4,green,,,,8,FALSE,,,,,
Meraioth,690,6.4,green,,,,8,FALSE,,,,,
Zadok3,704,6.4,green,after Meraioth,,,8,FALSE,,,,,
Schallum,718,6.4,green,,,,8,FALSE,,,,,
Hilkiah,732,6.4,green,,,,8,FALSE,,,,,
Azariah_IV,746,6.4,green,,,,8,FALSE,,,,,
Seraiah,760,6.4,green,,,,8,FALSE,,,,,
Jehozadak,774,6.4,green,,,,8,FALSE,,,,,
Joshua_Jeshua,788,6.4,green,,,,8,FALSE,"Nehemiah 12:10,11",,,,
Joiakim,802,6.4,green,,,,8,FALSE,"Nehemiah 12:10,11",,,,
Eliashib,816,6.4,green,,,,8,FALSE,"Nehemiah 12:10,11",,,,
Joiada,830,6.4,green,,,,8,FALSE,"Nehemiah 12:10,11",,,,
Johanan,844,6.4,green,,,,8,FALSE,"Nehemiah 12:10,11",,,,
Jaddua,858,6.4,green,,,,8,FALSE,"Nehemiah 12:10,11",,,,
Ezra,802,4.4,blue,,,,8,FALSE,,,,,
